currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
currenttime: 2023-09-28-17-13-49 - client: Client_1, Lat=19.68397, Lon=78.751274
